player_name,Clutch_Matches,Clutch_Goal,Clutch_Assist,Clutch_Score,Score_per_Match
Son Heung-Min,6,6,0,18,3.0
E. Haaland,6,6,0,18,3.0
D. Núñez,4,5,0,15,3.75
Mohamed Salah,5,5,0,15,3.0
K. Havertz,5,5,0,15,3.0
B. Mbeumo,4,4,0,12,3.0
C. Morris,4,4,0,12,3.0
D. Rice,4,4,0,12,3.0
R. Højlund,4,4,0,12,3.0
S. Adingra,3,4,0,12,4.0
O. Watkins,4,4,0,12,3.0
N. Jackson,3,4,0,12,4.0
Diogo Jota,3,3,0,9,3.0
E. Adebayo,3,3,0,9,3.0
João Pedro,3,3,0,9,3.0
L. Bailey,3,3,0,9,3.0
Bruno Fernandes,3,3,0,9,3.0
C. Gakpo,3,3,0,9,3.0
D. Solanke,3,3,0,9,3.0
Gabriel Martinelli,2,3,0,9,4.5
Bernardo Silva,3,3,0,9,3.0
A. Isak,3,3,0,9,3.0
D. O'Shea,3,3,0,9,3.0
C. Palmer,3,3,0,9,3.0
Douglas Luiz,3,3,0,9,3.0
J. Durán,2,3,0,9,4.5
H. Barnes,2,3,0,9,4.5
S. McTominay,2,3,0,9,4.5
Rodri,3,3,0,9,3.0
O. McBurnie,3,3,0,9,3.0
Matheus Cunha,3,3,0,9,3.0
L. Trossard,3,3,0,9,3.0
T. Souček,3,3,0,9,3.0
J. Kluivert,2,2,0,6,3.0
K. Ajer,2,2,0,6,3.0
J. Bellegarde,2,2,0,6,3.0
J. Ward-Prowse,2,2,0,6,3.0
J. Brown,2,2,0,6,3.0
J. Mateta,2,2,0,6,3.0
J. Álvarez,2,2,0,6,3.0
H. Elliott,2,2,0,6,3.0
D. Welbeck,2,2,0,6,3.0
J. Brownhill,2,2,0,6,3.0
Beto,2,2,0,6,3.0
C. Wood,2,2,0,6,3.0
D. McNeil,2,2,0,6,3.0
Bruno Guimarães,2,2,0,6,3.0
C. Wilson,2,2,0,6,3.0
A. Semenyo,2,2,0,6,3.0
C. Gallagher,2,2,0,6,3.0
A. Iwobi,2,2,0,6,3.0
B. De Cordova-Reid,2,2,0,6,3.0
N. Zaniolo,2,2,0,6,3.0
P. Foden,2,2,0,6,3.0
M. Kudus,2,2,0,6,3.0
M. Gibbs-White,2,2,0,6,3.0
T. Werner,2,2,0,6,3.0
T. Awoniyi,2,2,0,6,3.0
Y. Wissa,2,2,0,6,3.0
Willian,2,2,0,6,3.0
L. Dunk,2,2,0,6,3.0
L. Díaz,2,2,0,6,3.0
L. Berry,2,2,0,6,3.0
O. Édouard,2,2,0,6,3.0
T. Alexander-Arnold,2,2,0,6,3.0
R. Barkley,2,2,0,6,3.0
Richarlison,2,2,0,6,3.0
S. Kalajdzic,2,2,0,6,3.0
D. Kulusevski,1,1,0,3,3.0
D. Ings,1,1,0,3,3.0
D. Kulusevski                                  0,1,1,0,3,3.0
D. Brooks,1,1,0,3,3.0
B. White,1,1,0,3,3.0
A. Gilchrist,1,1,0,3,3.0
A. Garnacho,1,1,0,3,3.0
A. Doucouré,1,1,0,3,3.0
A. Onana,1,1,0,3,3.0
A. Robertson,1,1,0,3,3.0
A. Murić,1,1,0,3,3.0
A. Mac Allister,1,1,0,3,3.0
A. Véliz,1,1,0,3,3.0
A. Scott,1,1,0,3,3.0
A. Young,1,1,0,3,3.0
Adama Traoré,1,1,0,3,3.0
Antony,1,1,0,3,3.0
André Gomes,1,1,0,3,3.0
B. Davies,1,1,0,3,3.0
B. Johnson,1,1,0,3,3.0
A. Ben Slimane,1,1,0,3,3.0
A. Disasi,1,1,0,3,3.0
A. Al Dakhil,1,1,0,3,3.0
A. Gordon,1,1,0,3,3.0
D. Burn,1,1,0,3,3.0
D. Calvert-Lewin,1,1,0,3,3.0
D. Fofana,1,1,0,3,3.0
D. Henderson,1,1,0,3,3.0
C. Woodrow,1,1,0,3,3.0
Carlos Vinícius,1,1,0,3,3.0
C. Archer,1,1,0,3,3.0
C. Hudson-Odoi,1,1,0,3,3.0
C. Ogbene,1,1,0,3,3.0
C. Nkunku,1,1,0,3,3.0
C. Palmer                                  1,1,1,0,3,3.0
C. Romero,1,1,0,3,3.0
J. Bogle,1,1,0,3,3.0
J. Branthwaite,1,1,0,3,3.0
J. Andersen,1,1,0,3,3.0
J. Ayew,1,1,0,3,3.0
I. Toney,1,1,0,3,3.0
H. Maguire,1,1,0,3,3.0
Hugo Bueno,1,1,0,3,3.0
E. Ünal,1,1,0,3,3.0
Fábio Vieira,1,1,0,3,3.0
F. Schär,1,1,0,3,3.0
F. Onyeka,1,1,0,3,3.0
E. Fernández,1,1,0,3,3.0
E. Ferguson,1,1,0,3,3.0
Diogo Dalot,1,1,0,3,3.0
E. Eze,1,1,0,3,3.0
D. Szoboszlai,1,1,0,3,3.0
L. Hall,1,1,0,3,3.0
L. Dobbin,1,1,0,3,3.0
L. Bailey                                  1,1,1,0,3,3.0
L. Digne,1,1,0,3,3.0
K. Mainoo,1,1,0,3,3.0
K. Moore,1,1,0,3,3.0
K. Schade,1,1,0,3,3.0
K. Zouma,1,1,0,3,3.0
João Palhinha,1,1,0,3,3.0
J. Gvardiol,1,1,0,3,3.0
J. Murphy,1,1,0,3,3.0
J. Ramsey,1,1,0,3,3.0
J. Schlupp,1,1,0,3,3.0
J. Robinson,1,1,0,3,3.0
J. Willock,1,1,0,3,3.0
Joelinton,1,1,0,3,3.0
J. Bruun Larsen,1,1,0,3,3.0
J. Grealish,1,1,0,3,3.0
J. Doku,1,1,0,3,3.0
J. Matip,1,1,0,3,3.0
E. Álvarez,1,1,0,3,3.0
E. Martínez,1,1,0,3,3.0
G. Earthy,1,1,0,3,3.0
Gabriel Jesus                                  1,1,1,0,3,3.0
I. Gueye,1,1,0,3,3.0
M. Ritchie,1,1,0,3,3.0
M. van de Ven,1,1,0,3,3.0
L. Sinisterra,1,1,0,3,3.0
Lucas Paquetá,1,1,0,3,3.0
M. Andersen,1,1,0,3,3.0
M. Antonio,1,1,0,3,3.0
L. Martínez,1,1,0,3,3.0
Pablo Sarabia,1,1,0,3,3.0
P. Groß,1,1,0,3,3.0
P. Billing,1,1,0,3,3.0
O. Norwood,1,1,0,3,3.0
N. Aké,1,1,0,3,3.0
M. Ødegaard,1,1,0,3,3.0
N. Madueke,1,1,0,3,3.0
O. Bobb,1,1,0,3,3.0
M. Doherty,1,1,0,3,3.0
M. Kilman,1,1,0,3,3.0
M. Lemina,1,1,0,3,3.0
M. Mount,1,1,0,3,3.0
M. Mudryk,1,1,0,3,3.0
M. Rashford,1,1,0,3,3.0
Rodrigo Muniz,1,1,0,3,3.0
R. Varane,1,1,0,3,3.0
S. Ghoddos,1,1,0,3,3.0
S. Baptiste,1,1,0,3,3.0
S. Botman,1,1,0,3,3.0
S. Coleman,1,1,0,3,3.0
R. Sterling,1,1,0,3,3.0
Pedro Neto,1,1,0,3,3.0
T. Chong,1,1,0,3,3.0
T. Cairney,1,1,0,3,3.0
T. Tomiyasu,1,1,0,3,3.0
T. Mitchell,1,1,0,3,3.0
T. Livramento,1,1,0,3,3.0
Thiago Silva,1,1,0,3,3.0
W. Foderingham,1,1,0,3,3.0
W. Endo,1,1,0,3,3.0
Z. Amdouni,1,1,0,3,3.0
Álex Moreno,1,1,0,3,3.0
